project_id,project_type,material_type,scope_category,surface_area_m2,num_levels,num_units,building_height_m,floor_area_ratio,planned_start_date,planned_end_date,expected_duration_days,corrected_start_date,corrected_end_date,project_duration_days,actual_duration_days,month_started,quarter,season_flag,holiday_period_flag,total_project_hours,design_hours_total,num_site_visits,num_revisions,revision_reason,num_employees,avg_hours_per_employee
P-2022-001,Institutional,Wood,Complex Infrastructure,3747,12,1,66.44,312.25,2022-10-01,2023-07-25,297,2022-10-01,2023-06-29,271,297,10,4,Autumn,1,1892.71,361.42999999999995,259,0,None,11,172.06454545454545
P-2022-002,Industrial,Steel,Complex Infrastructure,4624,4,1,14.57,1156.0,2022-03-12,2022-11-05,238,2022-03-12,2022-12-02,265,238,3,1,Spring,1,2004.68,422.84,347,1,Client Change,11,182.24363636363637
P-2022-003,Residential,Mixed,New Build - Low Density,498,3,5,8.45,166.0,2022-10-14,2022-11-14,31,2022-10-14,2022-11-15,32,31,10,4,Autumn,0,105.89,26.62,8,1,Scope Creep,11,9.626363636363637
P-2022-004,Residential,Steel,New Build - Low Density,314,3,9,10.14,104.66666666666667,2022-07-09,2022-08-16,38,2022-07-09,2022-08-25,47,38,7,3,Summer,0,100.65,7.21,6,1,Scope Creep,10,10.065000000000001
P-2022-005,Institutional,Mixed,Complex Infrastructure,4623,5,1,27.78,924.6,2022-05-24,2023-01-08,229,2022-05-24,2023-01-21,242,229,5,2,Spring,1,1468.93,276.78,253,1,Site Condition,11,133.5390909090909
P-2022-006,Industrial,Wood,Complex Infrastructure,1128,4,1,14.07,282.0,2022-09-09,2022-11-21,73,2022-09-09,2022-12-05,87,73,9,3,Autumn,1,539.71,117.20999999999998,103,2,Client Change,11,49.06454545454546
P-2022-007,Commercial,Concrete,Tenant Improvement,1964,2,1,7.69,982.0,2022-01-12,2022-04-12,90,2022-01-12,2022-04-02,80,90,1,1,Winter,0,507.21,109.71000000000001,84,3,Code Conflict,11,46.11
P-2022-008,Residential,Mixed,New Build - Low Density,232,2,5,6.08,116.0,2022-04-02,2022-04-17,15,2022-04-02,2022-04-16,14,15,4,2,Spring,0,55.52,5.14,16,4,Site Condition,11,5.047272727272728
P-2022-009,Residential,Concrete,New Build - Low Density,351,2,3,6.28,175.5,2022-11-06,2022-12-05,29,2022-11-06,2022-12-10,34,29,11,4,Autumn,1,180.26,41.519999999999996,28,0,None,11,16.387272727272727
P-2022-010,Commercial,Steel,Tenant Improvement,1359,3,1,14.42,453.0,2022-10-15,2022-11-24,40,2022-10-15,2022-12-03,49,40,10,4,Autumn,1,176.25,29.05,12,1,Client Change,11,16.022727272727273
P-2022-011,Institutional,Concrete,Complex Infrastructure,4099,4,1,17.92,1024.75,2022-08-04,2023-02-08,188,2022-08-04,2023-02-14,194,188,8,3,Summer,1,814.45,180.06,66,0,None,11,74.0409090909091
P-2022-012,Commercial,Steel,Tenant Improvement,1486,6,1,26.47,247.66666666666666,2022-07-24,2022-10-14,82,2022-07-24,2022-10-16,84,82,7,3,Summer,0,743.28,110.99,130,2,Scope Creep,11,67.57090909090908
P-2022-013,Residential,Concrete,New Build - Low Density,388,2,9,5.95,194.0,2022-11-25,2022-12-20,25,2022-11-25,2022-12-20,25,25,11,4,Autumn,1,137.8,25.0,28,3,Code Conflict,11,12.52727272727273
P-2022-014,Institutional,Steel,Complex Infrastructure,4115,2,1,9.24,2057.5,2022-06-01,2022-11-09,161,2022-06-01,2022-11-27,179,161,6,2,Summer,0,1552.8,332.40999999999997,286,2,Code Conflict,11,141.16363636363636
P-2022-015,Institutional,Wood,Complex Infrastructure,2936,10,1,54.77,293.6,2022-07-19,2023-02-03,199,2022-07-19,2023-03-19,243,199,7,3,Summer,1,880.5,177.38,94,1,Client Change,11,80.04545454545455
P-2022-016,Residential,Wood,New Build - Low Density,592,2,6,6.31,296.0,2022-04-14,2022-05-17,33,2022-04-14,2022-05-18,34,33,4,2,Spring,0,214.26,55.08,26,1,Client Change,11,19.478181818181817
P-2022-017,Commercial,Steel,Tenant Improvement,1191,3,1,12.18,397.0,2022-11-11,2023-01-15,65,2022-11-11,2023-01-18,68,65,11,4,Autumn,1,530.83,111.28,101,0,None,11,48.25727272727273
P-2022-018,Residential,Steel,New Build - Low Density,371,2,4,5.85,185.5,2022-06-27,2022-07-29,32,2022-06-27,2022-07-27,30,32,6,2,Summer,0,149.96,30.91,31,1,Code Conflict,11,13.632727272727273
P-2022-019,Industrial,Mixed,Complex Infrastructure,1968,14,1,56.01,140.57142857142858,2022-04-06,2022-09-12,159,2022-04-06,2022-09-05,152,159,4,2,Spring,0,770.5,167.75,66,1,Code Conflict,11,70.04545454545455
P-2022-020,Commercial,Mixed,Tenant Improvement,1399,4,1,17.12,349.75,2022-03-20,2022-05-14,55,2022-03-20,2022-05-13,54,55,3,1,Spring,0,339.4,51.010000000000005,48,4,Code Conflict,11,30.854545454545452
P-2022-021,Commercial,Mixed,New Build - Mid Density,885,3,1,11.26,295.0,2022-02-22,2022-04-08,45,2022-02-23,2022-04-16,52,45,2,1,Winter,0,172.34,40.82,19,1,Code Conflict,11,15.667272727272728
P-2022-022,Industrial,Wood,Complex Infrastructure,1860,8,1,30.08,232.5,2022-10-26,2023-04-13,169,2022-10-26,2023-04-27,183,169,10,4,Autumn,1,844.9399999999999,170.99,145,1,Code Conflict,11,76.81272727272727
P-2022-023,Commercial,Mixed,New Build - Mid Density,1404,5,1,21.56,280.8,2022-05-16,2022-07-25,70,2022-05-16,2022-07-31,76,70,5,2,Spring,0,380.53,84.92,64,3,Client Change,11,34.593636363636364
P-2022-024,Institutional,Wood,Complex Infrastructure,4590,9,1,44.96,510.0,2022-08-02,2023-05-16,287,2022-08-02,2023-06-27,329,287,8,3,Summer,1,1934.34,356.57000000000005,308,0,None,11,175.8490909090909
P-2022-025,Commercial,Mixed,New Build - Mid Density,1724,3,1,11.84,574.6666666666666,2022-02-02,2022-04-16,73,2022-02-02,2022-04-26,83,73,2,1,Winter,0,227.77,54.14000000000001,26,1,Code Conflict,11,20.706363636363637
P-2022-026,Industrial,Concrete,Complex Infrastructure,3051,9,1,43.44,339.0,2022-06-17,2022-12-12,178,2022-06-17,2022-12-18,184,178,6,2,Summer,1,1392.26,282.57,257,1,Scope Creep,11,126.5690909090909
P-2022-027,Institutional,Steel,Complex Infrastructure,1748,9,1,32.58,194.22222222222223,2022-09-20,2023-02-25,158,2022-09-20,2023-03-13,174,158,9,3,Autumn,1,750.3,127.68000000000002,44,1,Client Change,11,68.2090909090909
P-2022-028,Residential,Mixed,New Build - Low Density,235,1,4,3.39,235.0,2022-02-18,2022-03-08,18,2022-02-18,2022-03-08,18,18,2,1,Winter,0,105.78,20.020000000000003,16,2,Client Change,11,9.616363636363637
P-2022-029,Industrial,Wood,Complex Infrastructure,2654,11,1,56.69,241.27272727272728,2022-05-27,2022-10-28,154,2022-05-27,2022-11-12,169,154,5,2,Spring,0,905.02,177.39,148,0,None,11,82.27454545454545
P-2022-030,Residential,Wood,New Build - Low Density,271,2,6,5.92,135.5,2022-07-03,2022-07-24,21,2022-07-03,2022-07-21,18,21,7,3,Summer,0,115.01,16.099999999999998,25,2,Client Change,11,10.455454545454545
P-2022-031,Industrial,Concrete,Complex Infrastructure,4667,4,1,20.97,1166.75,2022-05-04,2022-10-12,161,2022-05-04,2022-10-10,159,161,5,2,Spring,0,663.72,105.94999999999999,61,0,None,11,60.33818181818182
P-2022-032,Commercial,Steel,New Build - Mid Density,869,4,1,18.19,217.25,2022-09-08,2022-10-31,53,2022-09-08,2022-11-09,62,53,9,3,Autumn,0,438.83,98.65,76,3,Code Conflict,11,39.89363636363636
P-2022-033,Commercial,Wood,New Build - Mid Density,1753,7,1,29.18,250.42857142857142,2022-10-12,2023-01-16,96,2022-10-12,2023-02-02,113,96,10,4,Autumn,1,404.27,87.65999999999998,50,0,None,11,36.75181818181818
P-2022-034,Residential,Concrete,New Build - Low Density,291,1,2,3.4,291.0,2022-02-06,2022-02-26,20,2022-02-06,2022-02-22,16,20,2,1,Winter,0,46.22,6.59,1,3,Code Conflict,6,7.703333333333333
P-2022-035,Residential,Steel,New Build - Low Density,139,1,5,2.87,139.0,2022-05-23,2022-06-13,21,2022-05-23,2022-06-12,20,21,5,2,Spring,0,72.85,16.75,12,1,Code Conflict,11,6.622727272727272
P-2022-036,Industrial,Mixed,Complex Infrastructure,2016,2,1,10.91,1008.0,2022-11-03,2023-01-10,68,2022-11-03,2023-01-14,72,68,11,4,Autumn,1,357.23,56.82,56,2,Scope Creep,11,32.47545454545455
P-2022-037,Industrial,Concrete,Complex Infrastructure,2122,10,1,40.3,212.2,2022-11-15,2023-04-23,159,2022-11-15,2023-04-17,153,159,11,4,Autumn,1,889.5,172.02,102,1,Scope Creep,11,80.86363636363636
P-2022-038,Commercial,Mixed,Tenant Improvement,1981,4,1,14.91,495.25,2022-07-11,2022-10-01,82,2022-07-11,2022-10-04,85,82,7,3,Summer,0,678.02,120.99999999999999,122,2,Scope Creep,11,61.63818181818181
P-2022-039,Institutional,Wood,Complex Infrastructure,4660,12,1,59.64,388.3333333333333,2022-03-02,2022-10-03,215,2022-03-02,2022-10-26,238,215,3,1,Spring,0,2164.29,410.4,399,4,Client Change,11,196.75363636363636
P-2022-040,Institutional,Mixed,Complex Infrastructure,1608,6,1,33.62,268.0,2022-09-22,2023-01-16,116,2022-09-23,2023-02-02,132,116,9,3,Autumn,1,518.35,94.18,60,1,Client Change,11,47.122727272727275
P-2022-041,Residential,Steel,New Build - Low Density,317,1,6,3.3,317.0,2022-03-14,2022-04-09,26,2022-03-14,2022-04-08,25,26,3,1,Spring,0,100.49,19.410000000000004,22,0,None,11,9.135454545454545
P-2022-042,Commercial,Steel,Tenant Improvement,864,5,1,18.93,172.8,2022-03-04,2022-04-24,51,2022-03-04,2022-04-27,54,51,3,1,Spring,0,347.52,66.24,62,2,Scope Creep,11,31.59272727272727
P-2022-043,Industrial,Concrete,Complex Infrastructure,2752,5,1,26.99,550.4,2022-04-02,2022-08-15,135,2022-04-02,2022-09-19,170,135,4,2,Spring,0,706.4399999999999,167.6,86,1,Client Change,11,64.22181818181818
P-2022-044,Commercial,Steel,Tenant Improvement,1309,6,1,29.4,218.16666666666666,2022-09-05,2022-12-10,96,2022-09-06,2022-12-31,116,96,9,3,Autumn,1,549.69,134.60999999999999,76,2,Client Change,11,49.971818181818186
P-2022-045,Commercial,Wood,New Build - Mid Density,1375,4,1,17.89,343.75,2022-03-19,2022-05-12,54,2022-03-19,2022-05-19,61,54,3,1,Spring,0,261.04,71.27000000000001,27,2,Scope Creep,11,23.730909090909094
P-2022-046,Industrial,Wood,Complex Infrastructure,1014,12,1,64.69,84.5,2022-03-23,2022-08-08,138,2022-03-23,2022-08-31,161,138,3,1,Spring,0,516.57,106.24000000000001,17,2,Code Conflict,11,46.9609090909091
P-2022-047,Commercial,Mixed,New Build - Mid Density,1016,5,1,20.75,203.2,2022-10-22,2022-12-25,64,2022-10-23,2023-01-10,79,64,10,4,Autumn,1,231.67,40.599999999999994,13,5,Scope Creep,11,21.06090909090909
P-2022-048,Residential,Mixed,New Build - Low Density,276,2,1,7.5,138.0,2022-08-04,2022-08-26,22,2022-08-04,2022-08-29,25,22,8,3,Summer,0,124.16,27.91,31,1,Client Change,11,11.287272727272727
P-2022-049,Industrial,Steel,Complex Infrastructure,1067,11,1,45.6,97.0,2022-03-25,2022-07-11,108,2022-03-25,2022-08-07,135,108,3,1,Spring,0,668.16,128.04,118,1,Code Conflict,11,60.74181818181818
P-2022-050,Residential,Mixed,New Build - Low Density,529,1,3,2.99,529.0,2022-02-12,2022-03-04,20,2022-02-12,2022-03-08,24,20,2,1,Winter,0,153.86,29.41,23,0,None,11,13.987272727272728
P-2022-051,Residential,Steel,New Build - Low Density,326,1,1,3.31,326.0,2022-10-07,2022-11-04,28,2022-10-08,2022-11-08,31,28,10,4,Autumn,0,71.73,16.47,6,0,None,11,6.520909090909091
P-2022-052,Industrial,Mixed,Complex Infrastructure,3862,2,1,8.49,1931.0,2022-10-20,2023-03-29,160,2022-10-20,2023-04-15,177,160,10,4,Autumn,1,1375.29,247.48,230,4,Site Condition,11,125.02636363636363
P-2022-053,Commercial,Wood,New Build - Mid Density,1446,5,1,20.24,289.2,2022-04-04,2022-06-19,76,2022-04-04,2022-06-27,84,76,4,2,Spring,0,473.68,81.91999999999999,82,4,Scope Creep,11,43.06181818181818
P-2022-054,Institutional,Steel,Complex Infrastructure,3472,4,1,19.33,868.0,2022-06-19,2022-12-14,178,2022-06-19,2022-12-04,168,178,6,2,Summer,1,791.4,130.26,80,0,None,11,71.94545454545454
P-2022-055,Residential,Mixed,New Build - Low Density,150,1,9,3.34,150.0,2022-09-13,2022-10-02,19,2022-09-13,2022-10-02,19,19,9,3,Autumn,0,62.49,15.740000000000002,5,1,Code Conflict,11,5.680909090909091
P-2022-056,Institutional,Concrete,Complex Infrastructure,1957,11,1,45.07,177.9090909090909,2022-09-12,2023-02-24,165,2022-09-12,2023-04-11,211,165,9,3,Autumn,1,1165.4,227.62,203,1,Site Condition,11,105.94545454545455
P-2022-057,Institutional,Steel,Complex Infrastructure,4115,11,1,46.91,374.09090909090907,2022-03-04,2022-10-28,238,2022-03-04,2022-12-13,284,238,3,1,Spring,1,1609.15,291.15999999999997,289,1,Site Condition,11,146.28636363636363
P-2022-058,Industrial,Concrete,Complex Infrastructure,4919,5,1,23.55,983.8,2022-09-23,2023-06-28,278,2022-09-23,2023-08-08,319,278,9,3,Autumn,1,1472.21,315.59000000000003,211,2,Code Conflict,11,133.83727272727273
P-2022-059,Commercial,Steel,New Build - Mid Density,828,7,1,33.19,118.28571428571429,2022-04-28,2022-06-16,49,2022-04-29,2022-06-23,55,49,4,2,Spring,0,168.62,40.61,13,3,Scope Creep,11,15.32909090909091
P-2022-060,Residential,Steel,New Build - Low Density,180,2,3,6.37,90.0,2022-08-07,2022-09-08,32,2022-08-07,2022-09-11,35,32,8,3,Summer,0,88.97,17.74,13,3,Scope Creep,11,8.088181818181818
P-2022-061,Industrial,Concrete,Complex Infrastructure,2563,3,1,12.58,854.3333333333334,2022-06-15,2022-10-16,123,2022-06-15,2022-10-18,125,123,6,2,Summer,0,610.45,133.25000000000003,83,2,Site Condition,11,55.49545454545455
P-2022-062,Industrial,Wood,Complex Infrastructure,2475,1,1,4.95,2475.0,2022-08-03,2022-11-28,117,2022-08-03,2022-12-24,143,117,8,3,Summer,1,551.95,100.92,79,4,Site Condition,11,50.17727272727273
P-2022-063,Commercial,Concrete,Tenant Improvement,835,6,1,25.86,139.16666666666666,2022-10-19,2022-12-09,51,2022-10-20,2022-12-13,54,51,10,4,Autumn,1,244.84,42.39000000000001,21,1,Code Conflict,11,22.258181818181818
P-2022-064,Commercial,Steel,New Build - Mid Density,1861,4,1,18.33,465.25,2022-05-11,2022-07-27,77,2022-05-11,2022-07-26,76,77,5,2,Spring,0,506.29,121.65,77,1,Code Conflict,11,46.02636363636364
P-2022-065,Industrial,Mixed,Complex Infrastructure,4265,3,1,12.07,1421.6666666666667,2022-04-26,2022-10-11,168,2022-04-27,2022-10-30,186,168,4,2,Spring,0,574.18,130.24,72,1,Code Conflict,11,52.198181818181816
P-2022-066,Industrial,Steel,Complex Infrastructure,3663,5,1,25.18,732.6,2022-10-21,2023-03-19,149,2022-10-21,2023-04-01,162,149,10,4,Autumn,1,1036.02,178.29,154,1,Code Conflict,11,94.18363636363637
P-2022-067,Commercial,Wood,New Build - Mid Density,1410,2,1,8.89,705.0,2022-01-08,2022-03-06,57,2022-01-08,2022-03-15,66,57,1,1,Winter,0,430.47,77.46000000000001,85,2,Client Change,11,39.13363636363636
P-2022-068,Residential,Steel,New Build - Low Density,182,1,3,3.0,182.0,2022-05-06,2022-05-26,20,2022-05-06,2022-05-25,19,20,5,2,Spring,0,52.7,6.82,8,0,None,11,4.790909090909091
P-2022-069,Industrial,Mixed,Complex Infrastructure,4687,14,1,60.16,334.7857142857143,2022-05-16,2022-11-16,184,2022-05-17,2022-12-01,198,184,5,2,Spring,1,894.28,163.83999999999997,116,1,Client Change,11,81.29818181818182
P-2022-070,Industrial,Wood,Complex Infrastructure,2646,10,1,43.15,264.6,2022-06-13,2023-01-08,209,2022-06-13,2023-02-16,248,209,6,2,Summer,1,1621.84,345.03,263,0,None,11,147.44
P-2022-071,Commercial,Steel,New Build - Mid Density,720,4,1,14.71,180.0,2022-09-04,2022-10-15,41,2022-09-04,2022-10-19,45,41,9,3,Autumn,0,311.29,69.39999999999999,36,5,Scope Creep,11,28.29909090909091
P-2022-072,Institutional,Concrete,Complex Infrastructure,1185,14,1,66.69,84.64285714285714,2022-10-28,2023-03-28,151,2022-10-28,2023-03-15,138,151,10,4,Autumn,1,1087.92,260.36,176,3,Code Conflict,11,98.90181818181819
P-2022-073,Institutional,Concrete,Complex Infrastructure,4298,10,1,33.27,429.8,2022-10-03,2023-04-24,203,2022-10-03,2023-04-16,195,203,10,4,Autumn,1,1673.57,338.93,263,3,Client Change,11,152.14272727272726
P-2022-074,Residential,Wood,New Build - Low Density,445,3,7,9.87,148.33333333333334,2022-03-01,2022-04-06,36,2022-03-01,2022-04-15,45,36,3,1,Spring,0,108.27,13.31,10,3,Scope Creep,11,9.842727272727272
P-2022-075,Industrial,Concrete,Complex Infrastructure,3414,10,1,48.0,341.4,2022-06-16,2022-11-23,160,2022-06-16,2022-12-14,181,160,6,2,Summer,1,731.33,152.89000000000001,41,2,Code Conflict,11,66.48454545454545
P-2022-076,Commercial,Concrete,New Build - Mid Density,1412,4,1,15.05,353.0,2022-10-06,2022-11-25,50,2022-10-06,2022-11-23,48,50,10,4,Autumn,0,310.64,64.6,66,1,Site Condition,11,28.24
P-2022-077,Institutional,Steel,Complex Infrastructure,3525,4,1,17.49,881.25,2022-06-11,2022-11-13,155,2022-06-11,2022-11-14,156,155,6,2,Summer,0,1339.49,263.57,230,2,Scope Creep,11,121.77181818181818
P-2022-078,Residential,Wood,New Build - Low Density,510,3,5,10.25,170.0,2022-10-18,2022-11-27,40,2022-10-18,2022-11-29,42,40,10,4,Autumn,0,209.5,50.38999999999999,40,0,None,11,19.045454545454547
P-2022-079,Commercial,Concrete,Tenant Improvement,650,4,1,15.19,162.5,2022-02-10,2022-03-24,42,2022-02-10,2022-03-28,46,42,2,1,Winter,0,332.6,55.089999999999996,60,2,Scope Creep,11,30.236363636363638
P-2022-080,Residential,Wood,New Build - Low Density,304,1,6,3.08,304.0,2022-11-13,2022-12-09,26,2022-11-13,2022-12-07,24,26,11,4,Autumn,1,59.71,12.739999999999998,6,0,None,11,5.428181818181819
P-2022-081,Industrial,Concrete,Complex Infrastructure,2486,9,1,33.87,276.22222222222223,2022-11-09,2023-03-13,124,2022-11-09,2023-03-19,130,124,11,4,Autumn,1,826.29,177.65000000000003,141,3,Scope Creep,11,75.11727272727272
P-2022-082,Residential,Concrete,New Build - Low Density,147,3,6,9.93,49.0,2022-07-09,2022-08-12,34,2022-07-09,2022-08-20,42,34,7,3,Summer,0,105.64,12.600000000000001,18,3,Client Change,11,9.603636363636364
P-2022-083,Industrial,Concrete,Complex Infrastructure,2722,1,1,3.58,2722.0,2022-09-14,2023-01-10,118,2022-09-14,2023-01-23,131,118,9,3,Autumn,1,868.79,186.58999999999997,145,3,Scope Creep,11,78.9809090909091
P-2022-084,Industrial,Mixed,Complex Infrastructure,3262,7,1,36.19,466.0,2022-10-24,2023-05-03,191,2022-10-24,2023-05-03,191,191,10,4,Autumn,1,1292.73,277.66999999999996,231,1,Code Conflict,11,117.52090909090909
P-2022-085,Commercial,Concrete,Tenant Improvement,1940,5,1,16.75,388.0,2022-05-15,2022-08-08,85,2022-05-15,2022-08-08,85,85,5,2,Spring,0,437.46,87.17000000000002,69,2,Scope Creep,11,39.769090909090906
P-2022-086,Commercial,Wood,New Build - Mid Density,686,7,1,32.01,98.0,2022-08-04,2022-10-01,58,2022-08-04,2022-10-08,65,58,8,3,Summer,0,268.12,52.43000000000001,47,1,Site Condition,11,24.374545454545455
P-2022-087,Industrial,Concrete,Complex Infrastructure,2456,9,1,38.24,272.8888888888889,2022-05-18,2022-11-06,172,2022-05-18,2022-11-27,193,172,5,2,Spring,0,735.16,166.01,52,3,Client Change,11,66.83272727272727
